group_target,group_comp,rot_same,ref_same,gref_same,tile_same,user_id,task_id,distance,accuracy
 PG,P4G,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,41824,4,1
 P2,PMM,TRUE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,48465,4,0
 P3M1,P4M,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,10458,4,1
 P6,PG,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,5636,3,1
 P6M,PMG,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,1672,3,1
 CMM,PG,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,28644,4,1
 P1,P4M,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,53364,4,0
 P4M,CM,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,21566,5,1
 PG,PM,TRUE,FALSE,FALSE,TRUE,A2P065E9CYMYJL,42791,1,1
 P31M,CM,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,8770,1,1
 PMM,PGG,TRUE,FALSE,FALSE,TRUE,A2P065E9CYMYJL,37518,2,0
 CM,PM,TRUE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,40216,1,1
 P2,P4,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,48934,1,0
 CM,P31M,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,38486,1,1
 PMG,P2,TRUE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,34492,4,1
 P2,P4M,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,49551,3,1
 CMM,P1,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,28134,4,1
 PMM,PMG,TRUE,TRUE,FALSE,TRUE,A2P065E9CYMYJL,35610,1,1
 P6M,P4G,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,2721,2,1
 P2,PGG,TRUE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,50302,3,1
 PM,P3,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,44988,3,1
 PM,P6,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,46158,4,1
 PGG,CM,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,31831,2,1
 P3M1,CMM,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,11183,2,1
 P2,CM,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,48511,4,0
 P1,PMM,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,51649,4,1
 P3,PMG,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,14475,3,1
 P6,PMM,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,5539,3,1
 PMG,P4,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,33592,4,1
 PGG,CMM,TRUE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,31703,3,0
 PMM,P31M,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,35942,3,1
 P3,P31M,TRUE,FALSE,FALSE,TRUE,A2P065E9CYMYJL,13535,1,1
 P2,P6M,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,50565,2,1
 PM,CMM,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,45761,4,1
 P3M1,P31M,TRUE,TRUE,TRUE,TRUE,A2P065E9CYMYJL,10348,1,1
 CMM,P3,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,28346,3,1
 P6,P6M,TRUE,FALSE,FALSE,TRUE,A2P065E9CYMYJL,4507,1,1
 P1,CMM,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,53451,4,1
 PG,P3,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,43056,2,1
 PMG,P3M1,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,32771,2,1
 PG,P3M1,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,43652,3,1
 P31M,PG,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,7530,3,1
 P3,CMM,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,13099,3,1
 P2,PMG,TRUE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,48413,4,1
 P31M,PMM,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,9378,3,1
 PGG,PMG,TRUE,FALSE,TRUE,TRUE,A2P065E9CYMYJL,29805,1,0
 CM,P6M,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,39689,2,1
 PG,P4M,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,43123,5,1
 PMM,P1,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,37092,4,1
 P6M,PMM,FALSE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,1068,2,1
 P4M,PG,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,22264,5,1
 PMM,CMM,TRUE,TRUE,FALSE,FALSE,A2P065E9CYMYJL,37475,1,1
 P4,P6M,FALSE,FALSE,FALSE,FALSE,A2602OOFDKNFS8,24332,3,1
 P4,CMM,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,23334,2,1
 P4M,P3M1,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,19994,4,1
 CM,PG,TRUE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,38890,2,1
 PM,P6,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,47428,4,1
 P6,P3M1,FALSE,FALSE,FALSE,TRUE,A2P065E9CYMYJL,3935,2,0
 P6,P4,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,5399,2,1
 P31M,P3,TRUE,FALSE,FALSE,TRUE,A2P065E9CYMYJL,7185,1,0
 P4,CM,FALSE,FALSE,FALSE,FALSE,A2602OOFDKNFS8,25436,5,1
 CM,P4G,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,39267,4,1
 P6M,P3,FALSE,FALSE,FALSE,TRUE,A2P065E9CYMYJL,2071,2,0
 PG,PGG,FALSE,TRUE,TRUE,TRUE,A2602OOFDKNFS8,43252,1,0
 P6,CMM,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,5408,2,0
 PMM,P4M,FALSE,TRUE,FALSE,FALSE,A2602OOFDKNFS8,35452,3,1
 P31M,P1,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,7022,2,1
 P3M1,CMM,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,11170,2,1
 CMM,P2,TRUE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,28740,3,1
 P4M,P31M,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,20580,4,1
 CMM,CM,FALSE,TRUE,TRUE,TRUE,A2P065E9CYMYJL,27351,3,0
 CM,P4,FALSE,FALSE,FALSE,FALSE,A2602OOFDKNFS8,39322,5,1
 PG,P6,FALSE,TRUE,FALSE,FALSE,A2602OOFDKNFS8,44236,3,1
 P4,PMM,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,24738,3,1
 CM,P2,FALSE,FALSE,FALSE,FALSE,A2602OOFDKNFS8,39605,4,1
 CMM,P4M,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,26493,2,1
 CMM,CM,FALSE,TRUE,TRUE,TRUE,A2602OOFDKNFS8,28606,3,1
 P2,P6,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,50610,1,1
 PM,P2,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,47299,3,0
 P6M,P31M,FALSE,TRUE,TRUE,TRUE,A2P065E9CYMYJL,2622,1,0
 P4M,PGG,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,20190,5,1
 PG,PM,TRUE,FALSE,FALSE,TRUE,A2602OOFDKNFS8,44061,1,1
 P3,P4,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,15638,3,1
 P3M1,PGG,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,12481,3,1
 P4M,P6,FALSE,FALSE,FALSE,FALSE,A2P065E9CYMYJL,21190,4,1
 P4,P6,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,22480,2,1
 P31M,P3M1,TRUE,TRUE,TRUE,TRUE,A2P065E9CYMYJL,6514,1,1
 P6,PMM,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,3618,3,1
 P4,P31M,FALSE,FALSE,FALSE,FALSE,A2602OOFDKNFS8,22484,4,1
 P6M,PGG,FALSE,FALSE,TRUE,FALSE,A2P065E9CYMYJL,2906,4,1
 P6M,P3,FALSE,FALSE,FALSE,TRUE,A2602OOFDKNFS8,2683,2,1
 PMM,PMG,TRUE,TRUE,FALSE,TRUE,A2602OOFDKNFS8,35640,1,1
 P6,P2,FALSE,TRUE,TRUE,FALSE,A2P065E9CYMYJL,6326,1,1
 PGG,P4,FALSE,TRUE,FALSE,FALSE,A2602OOFDKNFS8,31035,4,1
 CM,CMM,FALSE,TRUE,TRUE,TRUE,A2602OOFDKNFS8,39371,3,1
 P4,PMG,FALSE,FALSE,FALSE,FALSE,A2602OOFDKNFS8,22786,4,1
 PGG,P1,FALSE,TRUE,FALSE,FALSE,A2602OOFDKNFS8,30691,2,0
 P4G,PMG,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,16400,3,1
 PMM,PG,FALSE,FALSE,FALSE,TRUE,A2602OOFDKNFS8,38279,3,1
 P6,P2,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,5688,1,1
 PMM,CMM,TRUE,TRUE,FALSE,FALSE,A2602OOFDKNFS8,36813,1,1
 P4,PGG,FALSE,TRUE,FALSE,FALSE,A2602OOFDKNFS8,25312,4,1
 PM,P4,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,47006,4,1
 PMG,CMM,TRUE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,32992,2,1
 P31M,PG,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,7526,3,1
 P3M1,CM,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,11968,1,1
 P31M,P4G,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,9139,3,0
 PGG,P4G,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,29675,4,1
 PGG,PM,FALSE,FALSE,FALSE,TRUE,A2602OOFDKNFS8,29991,2,1
 P31M,PMM,FALSE,TRUE,FALSE,FALSE,A2602OOFDKNFS8,8116,3,1
 P31M,CM,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,9428,1,1
 P6M,P6,TRUE,FALSE,FALSE,TRUE,A2602OOFDKNFS8,16,1,1
 P2,PM,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,50491,3,0
 CMM,P3,FALSE,FALSE,FALSE,FALSE,A2602OOFDKNFS8,25769,3,0
 PG,P3,FALSE,TRUE,FALSE,FALSE,A2602OOFDKNFS8,43708,2,1
 PGG,PG,FALSE,TRUE,TRUE,TRUE,A2602OOFDKNFS8,29921,1,1
 PM,P4M,FALSE,TRUE,FALSE,FALSE,A2602OOFDKNFS8,47609,6,1
 P4,P4G,TRUE,FALSE,FALSE,TRUE,A2602OOFDKNFS8,23889,1,0
 PMG,PMM,TRUE,TRUE,FALSE,TRUE,A2602OOFDKNFS8,34344,1,1
 P3M1,PG,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,10745,3,1
 CMM,P6,FALSE,FALSE,FALSE,FALSE,A2602OOFDKNFS8,27590,2,1
 P6M,P4,FALSE,FALSE,FALSE,FALSE,A2602OOFDKNFS8,911,3,1
 PMG,PM,FALSE,TRUE,FALSE,TRUE,A2602OOFDKNFS8,35095,2,1
 CM,P4G,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,38615,4,1
 P3,P4M,FALSE,FALSE,FALSE,FALSE,A2602OOFDKNFS8,15594,5,1
 PM,P1,TRUE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,46056,2,0
 P4G,P3,FALSE,FALSE,FALSE,FALSE,A2602OOFDKNFS8,16176,4,0
 PMM,PM,FALSE,TRUE,TRUE,TRUE,A2602OOFDKNFS8,37653,3,1
 PMG,P31M,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,33393,2,1
 PM,CM,TRUE,TRUE,FALSE,FALSE,A2602OOFDKNFS8,47212,1,1
 PG,P6M,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,42893,4,1
 PG,P4,FALSE,TRUE,FALSE,FALSE,A2602OOFDKNFS8,43840,3,1
 CM,PMG,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,38824,1,1
 PG,P2,FALSE,TRUE,FALSE,FALSE,A2602OOFDKNFS8,42174,2,1
 P4,PMM,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,22832,3,1
 P6M,P4M,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,849,3,1
 P2,CM,FALSE,FALSE,FALSE,FALSE,A2602OOFDKNFS8,48502,4,0
 P1,PG,TRUE,TRUE,FALSE,FALSE,A2602OOFDKNFS8,53674,1,1
 P6M,PMG,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,1008,3,1
 PMM,P3,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,35382,4,1
 PGG,P6M,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,31369,4,1
 PMG,P4,FALSE,FALSE,FALSE,FALSE,A2602OOFDKNFS8,34861,4,1
 PMM,P4,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,37412,3,1
 PGG,PMG,TRUE,FALSE,TRUE,TRUE,A1TH0PTGDSBWMO,29818,1,1
 P3M1,P4M,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,11721,4,1
 P3M1,P3,TRUE,FALSE,FALSE,TRUE,A2602OOFDKNFS8,11017,1,0
 CMM,P3M1,FALSE,TRUE,TRUE,FALSE,A1TH0PTGDSBWMO,26389,2,1
 CM,P1,TRUE,FALSE,FALSE,FALSE,A2602OOFDKNFS8,39006,3,1
 P6,PMG,FALSE,FALSE,FALSE,FALSE,A1TH0PTGDSBWMO,4848,4,1
 P4,PM,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,23597,4,1
 PGG,P2,TRUE,TRUE,FALSE,FALSE,A2602OOFDKNFS8,30035,3,1
 P3,P1,FALSE,TRUE,TRUE,FALSE,A1TH0PTGDSBWMO,14059,1,1
 PM,CMM,FALSE,TRUE,FALSE,FALSE,A2602OOFDKNFS8,47049,4,1
 P3M1,P2,FALSE,FALSE,FALSE,FALSE,A1TH0PTGDSBWMO,11477,3,1
 P2,P31M,FALSE,FALSE,FALSE,FALSE,A1TH0PTGDSBWMO,48722,3,1
 P4M,P6M,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,21792,3,1
 P6,PM,FALSE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,6289,4,1
 P6,CM,FALSE,FALSE,FALSE,FALSE,A1TH0PTGDSBWMO,4302,3,1
 P3,P6,FALSE,TRUE,TRUE,TRUE,A2602OOFDKNFS8,13481,1,0
 P6,P4G,FALSE,FALSE,FALSE,FALSE,A1TH0PTGDSBWMO,5294,3,1
 P6,P31M,FALSE,FALSE,FALSE,TRUE,A2602OOFDKNFS8,3280,2,1
 PMG,PGG,TRUE,FALSE,TRUE,TRUE,A1TH0PTGDSBWMO,32379,1,1
 P3M1,P4,FALSE,FALSE,FALSE,FALSE,A2602OOFDKNFS8,12422,4,1
 CM,PG,TRUE,FALSE,TRUE,FALSE,A1TH0PTGDSBWMO,40819,2,0
 P1,P4G,FALSE,FALSE,FALSE,FALSE,A2602OOFDKNFS8,52708,3,1
 P3M1,PM,FALSE,TRUE,FALSE,FALSE,A1TH0PTGDSBWMO,12072,2,1
 PMM,PMG,TRUE,TRUE,FALSE,TRUE,A1TH0PTGDSBWMO,36895,1,1
 P4G,P6M,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,17949,2,1
 PMM,P31M,FALSE,TRUE,FALSE,FALSE,A1TH0PTGDSBWMO,37209,3,0
 CMM,PM,FALSE,TRUE,FALSE,FALSE,A2602OOFDKNFS8,26158,4,1
 P4,P1,FALSE,TRUE,TRUE,FALSE,A1TH0PTGDSBWMO,24959,2,0
 P6M,P3,FALSE,FALSE,FALSE,TRUE,A1TH0PTGDSBWMO,160,2,1
 P4,P3,FALSE,TRUE,TRUE,FALSE,A2602OOFDKNFS8,24504,3,1
 P3,P6M,FALSE,FALSE,FALSE,TRUE,A1TH0PTGDSBWMO,14723,2,1
 P3M1,P2,FALSE,FALSE,FALSE,FALSE,A2602OOFDKNFS8,11457,3,1
 P4M,PM,FALSE,TRUE,FALSE,FALSE,A1TH0PTGDSBWMO,20364,6,1
 P2,P4M,FALSE,FALSE,FALSE,FALSE,A1TH0PTGDSBWMO,48263,3,0
 PM,PMG,FALSE,TRUE,FALSE,TRUE,A2602OOFDKNFS8,46481,2,1
 PMM,PG,FALSE,FALSE,FALSE,TRUE,A1TH0PTGDSBWMO,37623,3,1
 PG,CM,TRUE,FALSE,TRUE,FALSE,A2602OOFDKNFS8,44005,2,1
 PMG,P2,TRUE,FALSE,FALSE,FALSE,A1TH0PTGDSBWMO,33225,4,1
