group_target,group_comp,tile_same,T1_same,T2_same,D1_same,D2_same,same2fold,same3fold,same4fold,same6fold,distance,user_id,task_id,correct
P6M,PMG,False,False,True,False,False,True,False,True,False,3,A2P065E9CYMYJL,1672,1
CMM,PG,False,False,True,False,False,False,True,True,True,4,A2P065E9CYMYJL,28644,1
P1,P4M,False,False,False,False,False,False,True,False,True,4,A2P065E9CYMYJL,53364,0
P4M,CM,False,False,False,True,False,False,True,False,True,5,A2P065E9CYMYJL,21566,1
PG,PM,True,False,True,True,True,True,True,True,True,1,A2P065E9CYMYJL,42791,1
P31M,CM,False,False,False,False,True,True,False,True,True,1,A2P065E9CYMYJL,8770,1
PMM,PGG,True,False,False,True,True,True,True,True,True,2,A2P065E9CYMYJL,37518,0
CM,PM,False,False,True,False,True,True,True,True,True,1,A2P065E9CYMYJL,40216,1
P2,P4,False,True,True,True,True,True,True,False,True,1,A2P065E9CYMYJL,48934,0
CM,P31M,False,False,False,False,True,True,False,True,True,1,A2P065E9CYMYJL,38486,1
PMG,P2,False,False,False,True,True,True,True,True,True,4,A2P065E9CYMYJL,34492,1
P2,P4M,False,False,False,False,False,True,True,False,True,3,A2P065E9CYMYJL,49551,1
CMM,P1,False,True,True,False,False,False,True,True,True,4,A2P065E9CYMYJL,28134,1
PMM,PMG,True,False,True,True,True,True,True,True,True,1,A2P065E9CYMYJL,35610,1
P6M,P4G,False,False,False,True,True,True,False,False,False,2,A2P065E9CYMYJL,2721,1
P2,PGG,False,False,False,True,True,True,True,True,True,3,A2P065E9CYMYJL,50302,1
PM,P3,False,False,True,True,True,True,False,True,True,3,A2P065E9CYMYJL,44988,1
PM,P6,False,False,True,True,True,False,False,True,False,4,A2P065E9CYMYJL,46158,1
PGG,CM,False,False,False,False,True,False,True,True,True,2,A2P065E9CYMYJL,31831,1
P3M1,CMM,False,True,True,True,False,False,False,True,True,2,A2P065E9CYMYJL,11183,1
P2,CM,False,True,True,False,True,False,True,True,True,4,A2P065E9CYMYJL,48511,0
P1,PMM,False,False,False,True,True,False,True,True,True,4,A2P065E9CYMYJL,51649,1
P3,PMG,False,False,False,True,True,False,False,True,True,3,A2P065E9CYMYJL,14475,1
P6,PMM,False,False,False,True,True,True,False,True,False,3,A2P065E9CYMYJL,5539,1
PMG,P4,False,False,False,True,True,True,True,False,True,4,A2P065E9CYMYJL,33592,1
PGG,CMM,False,False,False,False,False,True,True,True,True,3,A2P065E9CYMYJL,31703,0
PMM,P31M,False,True,True,True,True,False,False,True,True,3,A2P065E9CYMYJL,35942,1
P3,P31M,True,False,False,True,True,True,True,True,True,1,A2P065E9CYMYJL,13535,1
P2,P6M,False,False,False,False,False,True,False,True,False,2,A2P065E9CYMYJL,50565,1
PM,CMM,False,False,True,False,False,False,True,True,True,4,A2P065E9CYMYJL,45761,1
P3M1,P31M,True,False,False,False,True,True,True,True,True,1,A2P065E9CYMYJL,10348,1
CMM,P3,False,True,True,False,False,False,False,True,True,3,A2P065E9CYMYJL,28346,1
P6,P6M,True,False,False,False,False,True,True,True,True,1,A2P065E9CYMYJL,4507,1
P1,CMM,False,True,True,False,False,False,True,True,True,4,A2P065E9CYMYJL,53451,1
PG,P3,False,False,True,True,True,True,False,True,True,2,A2P065E9CYMYJL,43056,1
PMG,P3M1,False,False,False,False,True,False,False,True,True,2,A2P065E9CYMYJL,32771,1
PG,P3M1,False,False,True,False,True,True,False,True,True,3,A2P065E9CYMYJL,43652,1
P31M,PG,False,False,False,True,True,True,False,True,True,3,A2P065E9CYMYJL,7530,1
P3,CMM,False,True,True,False,False,False,False,True,True,3,A2P065E9CYMYJL,13099,1
P2,PMG,False,False,False,True,True,True,True,True,True,4,A2P065E9CYMYJL,48413,1
P31M,PMM,False,True,True,True,True,False,False,True,True,3,A2P065E9CYMYJL,9378,1
PGG,PMG,True,True,False,True,True,True,True,True,True,1,A2P065E9CYMYJL,29805,0
CM,P6M,False,False,False,True,False,False,False,True,False,2,A2P065E9CYMYJL,39689,1
PG,P4M,False,False,False,False,False,False,True,False,True,5,A2P065E9CYMYJL,43123,1
PMM,P1,False,False,False,True,True,False,True,True,True,4,A2P065E9CYMYJL,37092,1
P6M,PMM,False,True,True,False,False,True,False,True,False,2,A2P065E9CYMYJL,1068,1
P4M,PG,False,False,False,False,False,False,True,False,True,5,A2P065E9CYMYJL,22264,1
PMM,CMM,False,False,False,False,False,True,True,True,True,1,A2P065E9CYMYJL,37475,1
P4,P6M,False,False,False,False,False,True,False,False,False,3,A2602OOFDKNFS8,24332,1
P4,CMM,False,True,True,False,False,True,True,False,True,2,A2P065E9CYMYJL,23334,1
P4M,P3M1,False,False,False,True,False,False,False,False,True,4,A2P065E9CYMYJL,19994,1
CM,PG,False,False,True,False,True,True,True,True,True,2,A2602OOFDKNFS8,38890,1
PM,P6,False,False,True,True,True,False,False,True,False,4,A2602OOFDKNFS8,47428,1
P6,P3M1,True,True,True,False,True,False,True,True,False,2,A2P065E9CYMYJL,3935,0
P6,P4,False,True,True,True,True,True,False,False,False,2,A2602OOFDKNFS8,5399,1
P31M,P3,True,False,False,True,True,True,True,True,True,1,A2P065E9CYMYJL,7185,0
P4,CM,False,True,True,False,True,False,True,False,True,5,A2602OOFDKNFS8,25436,1
CM,P4G,False,False,False,True,False,False,True,False,True,4,A2P065E9CYMYJL,39267,1
P6M,P3,True,False,False,False,False,False,True,True,False,2,A2P065E9CYMYJL,2071,0
